CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
45,2778,11521,11355,2833,9619,24405,3381,14807,13995,3455,7177,6251,3345,20149,17307,4928,5727,5208,2987,3853,3459,3175,40000,40000,40000
46,2778,11521,11355,2833,9619,24405,3381,14807,13995,3455,7177,6251,3345,20149,17307,4928,5727,5208,2987,3853,3459,3175,40000,40000,40000
47,2778,11521,11355,2833,9619,24405,3381,14807,13995,3455,7177,6251,3345,20149,17307,4928,5727,5208,2987,3853,3459,3175,40000,40000,40000
48,2778,11521,11355,2833,9619,24405,3381,14807,13995,3455,7177,6251,3345,20149,17307,4928,5727,5208,2987,3853,3459,3175,40000,40000,40000
49,2778,11521,11355,2833,9619,24405,3381,14807,13995,3455,7177,6251,3345,20149,17307,4928,5727,5208,2987,3853,3459,3175,40000,40000,40000
50,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
51,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
52,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
53,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
54,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
55,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
56,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
57,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
58,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
59,2829,11573,11406,2884,9671,24456,3432,14858,14046,3506,7228,6302,3396,20200,17359,4979,5778,5259,3038,3904,3510,3226,40000,40000,40000
60,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
61,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
62,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
63,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
64,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
65,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
66,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
67,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
68,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
69,3027,11771,11604,3083,9869,24654,3630,15056,14244,3704,7427,6501,3595,20399,17557,5178,5977,5457,3236,4102,3709,3424,40000,40000,40000
70,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
71,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
72,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
73,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
74,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
75,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
76,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
77,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
78,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
79,3325,12069,11902,3380,10166,24952,3928,15354,14542,4002,7724,6798,3892,20696,17855,5475,6274,5755,3534,4400,4006,3722,40000,40000,40000
80,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
81,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
82,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
83,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
84,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
85,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
86,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
87,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
88,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
89,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
90,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
91,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
92,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
93,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
94,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
95,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
96,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
97,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
98,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
99,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
100,2493,11237,11070,2548,9335,24120,3096,14522,13710,3170,6892,5966,3060,19864,17023,4643,5442,4923,2702,3568,3174,2890,40000,40000,40000
