CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
45,2778,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
46,2778,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
47,2778,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
48,2778,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
49,2778,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
50,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
51,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
52,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
53,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
54,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
55,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
56,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
57,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
58,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
59,2829,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
60,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
61,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
62,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
63,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
64,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
65,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
66,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
67,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
68,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
69,3027,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
70,3325,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
71,3325,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
72,3325,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
73,3325,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
74,3325,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
75,3325,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,7815,3908,1478,11332,11332,6228,2341,2341,585,39731,39731,38948
